ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-02-01,54.77344381827918,37.039861372336,76.50091574074074,54.77344381827918,54.77344381827918,1.4021400337425798,1.4021400337425798,1.4021400337425798,1.4021400337425798,1.4021400337425798,1.4021400337425798,0.0,0.0,0.0,56.17558385202177
2019-03-01,55.11231655173393,44.58420725085672,84.466370205882,55.11231655173393,55.11231655173393,9.330409337954698,9.330409337954698,9.330409337954698,9.330409337954698,9.330409337954698,9.330409337954698,0.0,0.0,0.0,64.44272588968863
2019-04-01,55.48749707794555,48.69188337171562,86.35289924723288,55.48749707794555,55.48749707794555,11.748392741700576,11.748392741700576,11.748392741700576,11.748392741700576,11.748392741700576,11.748392741700576,0.0,0.0,0.0,67.23588981964612
2019-05-01,55.85057500653744,44.46335148200124,81.76838025315688,55.85057500653744,55.85057500653744,7.053025327410126,7.053025327410126,7.053025327410126,7.053025327410126,7.053025327410126,7.053025327410126,0.0,0.0,0.0,62.903600333947566
2019-06-01,56.22575553294046,38.28932987775785,78.19269974855473,56.22575553294046,56.22575553294046,2.949165447942183,2.949165447942183,2.949165447942183,2.949165447942183,2.949165447942183,2.949165447942183,0.0,0.0,0.0,59.174920980882646
2019-07-01,56.58883346171758,41.03547643492173,79.44875805112467,56.58883346171758,56.58883346171758,3.3253070327069763,3.3253070327069763,3.3253070327069763,3.3253070327069763,3.3253070327069763,3.3253070327069763,0.0,0.0,0.0,59.91414049442455
2019-08-01,56.96401398812059,41.57274561052394,79.54410714417943,56.96401398812059,56.96401398812059,3.0102182775492206,3.0102182775492206,3.0102182775492206,3.0102182775492206,3.0102182775492206,3.0102182775492206,0.0,0.0,0.0,59.97423226566981
2019-09-01,57.339195019961835,45.13262001371575,85.0496383949876,57.339195019961835,57.339195019961835,7.606352046661024,7.606352046661024,7.606352046661024,7.606352046661024,7.606352046661024,7.606352046661024,0.0,0.0,0.0,64.94554706662286
2019-10-01,57.70227343787271,45.80485972084413,85.21066109317462,57.70227343787271,57.70227343787271,7.9462097274118655,7.9462097274118655,7.9462097274118655,7.9462097274118655,7.9462097274118655,7.9462097274118655,0.0,0.0,0.0,65.64848316528457
2019-11-01,58.07756436197186,43.4114302277912,82.23249131407258,58.07756436197186,58.07756436197186,3.66797557357295,3.66797557357295,3.66797557357295,3.66797557357295,3.66797557357295,3.66797557357295,0.0,0.0,0.0,61.74553993554481
2019-12-01,58.44074912722909,36.99001809034104,75.42795380989799,58.44074912722909,58.44074912722909,-1.4684676623637165,-1.4684676623637165,-1.4684676623637165,-1.4684676623637165,-1.4684676623637165,-1.4684676623637165,0.0,0.0,0.0,56.972281464865375
2020-01-01,58.81604890400379,39.241587524945054,78.92958359349545,58.81604890400379,58.81604890400379,1.1033474117298454,1.1033474117298454,1.1033474117298454,1.1033474117298454,1.1033474117298454,1.1033474117298454,0.0,0.0,0.0,59.919396315733636
2020-02-01,59.191348680778496,32.91220935620539,72.9261022013448,59.191348680778496,59.191348680778496,-7.038218351548717,-7.038218351548717,-7.038218351548717,-7.038218351548717,-7.038218351548717,-7.038218351548717,0.0,0.0,0.0,52.15313032922978
2020-03-01,59.54283783409655,41.05992840783813,78.57115238940084,59.54283783409655,59.54283783409655,-0.6920006242399389,-0.6920006242399389,-0.6920006242399389,-0.6920006242399389,-0.6920006242399389,-0.6920006242399389,0.0,0.0,0.0,58.850837209856614
2020-04-01,59.91856761867791,32.63261014663529,71.5741890608886,59.91856761867791,59.91856761867791,-8.330074070208056,-8.330074070208056,-8.330074070208056,-8.330074070208056,-8.330074070208056,-8.330074070208056,0.0,0.0,0.0,51.588493548469856
2020-05-01,60.282559544306544,44.62291683774174,82.50687508949034,60.282559544306544,60.282559544306544,3.637515437907676,3.637515437907676,3.637515437907676,3.637515437907676,3.637515437907676,3.637515437907676,0.0,0.0,0.0,63.92007498221422
2020-06-01,60.6586845341228,54.83832377088751,95.37850500933739,60.6586845341228,60.6586845341228,14.052044313538962,14.052044313538962,14.052044313538962,14.052044313538962,14.052044313538962,14.052044313538962,0.0,0.0,0.0,74.71072884766176
2020-07-01,61.02267645975144,53.64258906597991,94.42201622372481,61.02267645975144,61.02267645975144,12.648043417004725,12.648043417004725,12.648043417004725,12.648043417004725,12.648043417004725,12.648043417004725,0.0,0.0,0.0,73.67071987675617
2020-08-01,61.57465331426286,48.098170223752405,87.81897833104672,61.57465331426286,61.57465331426286,6.919781740904807,6.919781740904807,6.919781740904807,6.919781740904807,6.919781740904807,6.919781740904807,0.0,0.0,0.0,68.49443505516767
2020-09-01,62.12663016877427,42.57970266787598,83.79321875629824,62.12663016877427,62.12663016877427,1.6097772395307852,1.6097772395307852,1.6097772395307852,1.6097772395307852,1.6097772395307852,1.6097772395307852,0.0,0.0,0.0,63.736407408305055
2020-10-01,62.66093319664765,46.25887744494839,83.91611729135056,62.66093319664765,62.66093319664765,2.356021487731261,2.356021487731261,2.356021487731261,2.356021487731261,2.356021487731261,2.356021487731261,0.0,0.0,0.0,65.0169546843789
2020-11-01,63.213046325450144,43.821006269068036,81.10994577633475,63.213046325450144,63.213046325450144,-1.5213711114263087,-1.5213711114263087,-1.5213711114263087,-1.5213711114263087,-1.5213711114263087,-1.5213711114263087,0.0,0.0,0.0,61.69167521402383
2020-12-01,63.747518071351436,41.78961961487824,79.55144998145752,63.747518071351436,63.747518071351436,-3.722113697651554,-3.722113697651554,-3.722113697651554,-3.722113697651554,-3.722113697651554,-3.722113697651554,0.0,0.0,0.0,60.025404373699885
2021-01-01,64.2998055421161,48.40090789195035,86.01056815591606,64.2998055421161,64.2998055421161,3.099108670683055,3.099108670683055,3.099108670683055,3.099108670683055,3.099108670683055,3.099108670683055,0.0,0.0,0.0,67.39891421279916
2021-02-01,64.8523191623174,63.5322336989815,103.80407724710206,64.8523191623174,64.8523191623174,18.43245232441848,18.43245232441848,18.43245232441848,18.43245232441848,18.43245232441848,18.43245232441848,0.0,0.0,0.0,83.28477148673588
